,user_embed
0,"0.3230049289359048,0.3542188287620719,0.6045306950342346,0.7616706576940149,0.7618391355694181,0.4800229862096547,0.9352970989123827,0.7177576630761039,0.7879476067311231,0.7222877260157294"
1,"0.23951337494665634,0.9402185516494879,0.17270048341464544,0.2761413596951486,1.3003343076705631,1.023983159037411,0.25512266245991133,0.42846453850432287,0.7657594643927725,0.3296568986532632"
2,"0.3061985388279836,0.7631639914404319,0.4254829262886611,0.3924288353263649,0.9672755580674,0.6123772393414021,0.27756928678904147,0.3736590962359269,0.6807728005256115,0.42515545286341616"
3,"0.2243392910518158,0.726506670361356,0.1813529410588761,0.27777287971197234,1.0044509131006816,0.7945765170342518,0.24481578380218416,0.35636667014747225,0.6436857074317552,0.31364779424976236"
4,"0.8622243900625411,0.752172267865319,0.5905167182216716,0.3627141834992047,0.7075780163651701,0.8414983035502688,0.8635371101241274,0.3833348894524136,0.13131271915607776,0.45084391074841645"
5,"1.0936492564338844,0.4259278888243617,0.5173053742317697,1.0808564052562974,0.8159823641336755,0.43283288848663304,1.0020173080881987,0.11837402744920758,-0.016479871833569075,0.4337089992201418"
6,"0.40852305032643227,0.8236564132523738,1.0627911230139395,0.617522962862742,0.7151180379656138,0.7313887325524562,0.37099762093085414,0.4264656528649988,0.28537283471782043,0.877224074035685"
7,"0.9914407771245461,0.2719627235908314,0.2606577752988472,0.8024066052722753,0.3172302894339566,0.36000455770670464,0.8444197327012829,0.8162181810247577,0.5934088266255272,0.19623561276380652"
8,"0.4730059527541392,0.6072926858945323,0.9393473654728152,0.947243612382648,0.8378673990810971,1.059653061235898,0.7623309786601262,0.30175015163573143,-0.03409112261034113,0.7720034092472402"
9,"1.3691239309889212,0.7972334454140235,0.8196233237805216,0.12669414790606848,0.785307036345023,0.17013542308299145,0.1007683003211726,0.6822094520651469,0.8038725082860414,0.10824743431807055"
10,"0.013732732453503269,0.40147083382694626,0.11037063486864948,0.23314084780928512,0.5218319144888135,-0.014178885813803738,1.5936538761563364,0.35573631982202936,0.7233080034406763,0.43625750740224917"
11,"1.050089645886154,0.1329401275791689,1.1172879206677075,0.3890372952288851,0.5972064541951905,0.17366900268678415,0.5751087840331414,0.4693682592739355,0.5763082423758628,0.8428100405921118"
12,"0.3754538319459324,0.8733232450207012,0.3495975961550306,0.5658719039737659,0.225936394041105,0.7133079893982603,0.5627007453923687,0.9919501811778907,0.9379250549925682,0.4723654856420322"
13,"0.34427227411280087,0.7992585865171626,0.28561496369286643,0.5839099459978024,0.058186683230446366,0.698943228160662,0.5107777536350059,1.0605376937826008,0.9874091877137432,0.3210272381035605"
14,"0.7304347491424227,0.7603359670861206,0.556244592186742,0.6417856347327349,0.6366533876092597,0.6855206988276172,0.35332864881373055,0.5779843013899504,0.6416128779463267,0.5937144538075766"
15,"0.7573585991375978,0.704916633396115,0.591706304158175,0.7502255332037842,0.38995959435764704,0.676338311875872,0.47370575831535083,0.6922137058599428,0.5926933179336591,0.6287953137968788"
16,"0.541330167051032,0.48814534943384275,0.770210504033182,0.5557081386561707,0.6267163109595019,0.6541892180196933,0.23992843347506884,0.34857470122904716,0.9484234829120136,0.8107547323058885"
17,"0.5737221681400001,0.760964113976151,0.36243841529710563,0.5229325131896291,0.41359054424730224,0.827973257384655,0.47309277481041556,0.3904137128141325,0.808264683929633,0.6303631318890534"
18,"0.3860083365720263,0.5547339016637306,0.23569073766989823,1.078720298659546,0.6849951774356552,0.8525584047023606,0.50258915403111,0.5728820535647694,0.7996504604097268,0.2049779959057255"
