,user_embed
0,"0.5033972117333295,0.393580902263813,0.24443892902368455,0.3011721422561754,0.5339052708758735,0.6048295474979282,0.3352960903902835,0.444238233770729,0.41830224751187184,0.16225594162037008,0.4996747511709689,0.5372966018510976,0.3711905738917491,0.5189297716982973,0.7203944764735274,0.4522340596907149,0.48714709068716155,0.45391957899041024,0.7372596700546179,0.41498201000082513"
1,"0.31925321429378073,0.49122349641577323,0.5211670376171772,0.709693441215998,0.21665473606332017,0.25489986293086186,0.4584805927323801,0.5281762615218898,0.3781900871198272,0.5040786890816756,0.32066048423996074,0.5295495907445071,0.4601323039974326,0.42002026089804434,0.272599648869076,0.5156946751514547,0.30934867293146123,0.42615896031135003,0.42167262832553215,0.43345708141610045"
2,"0.48572786593932127,0.403098267769191,0.4020270326941368,0.3907964123143338,0.5417690237238559,0.49214253507628175,0.4387229005665162,0.49015193692703135,0.516507244550288,0.23207653354739424,0.35773736391351435,0.45853702875179286,0.28823009132528604,0.55242132953709,0.5821638122610904,0.513820678373559,0.535122700896382,0.38306863478636205,0.6377875739670713,0.482694959913833"
3,"0.45274748197199954,0.33411271946601084,0.20755679317430703,0.29918533674723874,0.6713530926691668,0.4938583783443191,0.4708497736612194,0.7099839058093181,0.3455942249946832,0.3297729253810038,0.3856493296066702,0.2606257673171371,0.3654197211168389,0.5284572577196849,0.5609964432277956,0.40220017305270284,0.5706072918712224,0.5496480367683386,0.6120331045316181,0.4143994494069169"
4,"0.75382122008817,0.782292851090711,0.45452589404359467,0.042886534095326626,0.12612982568099204,0.47310867755659475,0.3978158497335194,-0.13008966060274096,0.48284929644433056,0.6048653073737393,0.1495566885058584,0.5130255289609215,0.21998642341818034,0.37946434178061994,0.6582863243385232,0.3091641987497771,0.6675052697101479,0.7008089787002945,0.5282703398156041,0.026719411230572056"
5,"0.35278316183956626,0.061126257090444,0.5230553460721137,0.38166469801357317,0.7150234624859761,0.16341980023278038,0.5162679414394018,0.3698435778022413,0.18174973214360984,0.7602527305140915,0.35484936229184744,0.3980651524318941,0.7811312870160643,0.3789958530120515,0.37921406424039017,0.6489396579954715,0.5001365311649246,0.3244268759829714,0.3208492887761148,0.5979604841689168"
6,"0.41247910362971885,0.6055030698918381,0.444564973950152,0.3170115163941946,0.5278551608077632,0.2704632596065198,0.586858680407137,0.2925003624411247,0.5735539977685368,0.693447929269339,0.3110591474026034,0.42413222494775665,0.570487250005029,0.3729863910716022,0.6248065885689584,0.37953646496809174,0.6232490862955804,0.6891826668278611,0.5077778279215713,0.40818011232156465"
7,"0.522701498120686,0.45700742623889223,0.5046834914384667,0.38142496100538403,0.264407130032352,0.40333424495008563,0.4677976506874859,0.3972490110235413,0.31025504336111115,0.413350025007984,0.3241013418533853,0.496537999663853,0.1979830287600018,0.3135046650831523,0.45482220661306383,0.5152986511726564,0.24672564214061796,0.36800845633974627,0.36709485726461616,0.3071771610932661"
8,"0.30275354700426843,0.11216296362223178,0.1600019921659698,0.25185280472362404,0.5556471058771392,0.6681583996742317,0.17562267099580764,0.3403725500474495,0.2492084236672298,0.030206093174829883,0.7897457976644485,0.2782582192631137,0.5861625619985374,0.4537938917351549,0.5795612774823314,0.01816020712509752,0.32181771255543534,0.8887949634892802,0.8473238142779491,0.4545958561441294"
9,"0.28898466279700785,0.2094346734730052,0.5528671207311112,0.2934939897895108,-0.019244542586733727,0.4606618166997403,-0.010696122422964072,0.13556237444551342,0.21117895867969574,0.3299313059148389,0.3022606236870658,0.46443465510445603,0.059656370210295136,0.19323155499991826,0.45426747222893815,0.4202883022981371,0.10977647118620859,0.7408962603340017,0.5506856742947162,0.45640465023730925"
