,item_embed
0,"0.5048703478944103,0.3010443416612707,0.36103014956725743,0.2976089957932195,0.2794986190326314,0.5078121353075107,0.42655980269663557,0.46933830037181706,0.35261651178464143,0.32324106258275626,0.246835260294654,0.3870042787998341,0.24725520135642468,0.42412479104691714,0.24791564707878358,0.3860063301218544,0.25268010963445675,0.3550805394059673,0.2226899169091356,0.48083628235731507,0.2692242591454542,0.34667036321547356,0.4663535434381425,0.4503442981760355,0.49790619140386994"
1,"0.432981696601627,0.7637980317927298,0.22049230580232645,0.5566924046505403,0.3047720827285308,0.6352261600709765,0.2730767448093145,0.2186620372644734,0.3534436568991863,0.18993710485270554,0.48917310218957316,0.47682454818762143,0.4529096417847995,0.5945882621434443,0.28110816231077096,0.6132078132879819,0.3470179610946307,0.3896600138559236,0.6455108834250465,-0.090304797683227,0.4215773654256641,0.7385650233607836,0.619590567817864,0.38875532997705964,0.26899012290744867"
2,"0.4232366350294891,0.13106364884361035,0.3316229779227136,0.5567863684433094,0.331053561699284,0.1811583104628469,0.3430837921522601,0.4310315238383694,0.23549616447424515,0.3047557454653225,0.268672339074063,0.3990708358321455,0.37760212877370847,0.407905180288941,0.27461700858769034,0.29473609415771657,0.5336015305586238,0.05852597932105494,0.43359976530514815,0.11655932478216621,0.31129950411895896,0.4042962483102117,0.0846051914644217,0.2182736005262766,0.47766795827519803"
3,"0.3144728736066733,0.4334114192934588,0.3202728384938222,0.2707482560606958,0.42641890114666614,0.5838477643436251,0.3645499999621316,0.5978059956531396,0.07145494912562982,0.3371498700598621,0.5862308555966969,0.4190467067330776,0.2823304146380448,0.09867770555073317,0.5088692869451865,0.3269268207656781,0.3921150295563411,0.35150451630086377,0.3636211209090167,0.3433899357545784,0.21370780029073783,0.27779404113785344,0.4142717817495531,0.3863252254889165,0.2404512720073012"
4,"0.5623376505567175,0.09286130157098113,0.12817370099327743,0.35484251188094584,0.4455524796231274,0.6603341030363934,0.2513289825544122,-0.044457028096888354,0.7502442636171266,0.12278439461099615,0.32011803943842326,0.35337383615413354,0.3383467255791342,0.48589478436850014,0.39517698132059487,0.536909441653507,0.21668362837090777,0.36918311655548686,0.37800884689040243,0.057120722016363826,0.4730178914537039,0.49294776583137984,0.7070515128783591,0.500923129529896,0.2594193152905334"
5,"0.31314917414933974,0.2763132177888943,0.10356510576506996,0.49285511609094224,0.4182591870389696,0.3237767763732614,0.25244797607977953,0.4227005720130186,0.26388754831969113,0.5452735217056118,0.5164932488476813,0.10718823153238191,0.3832376161663565,0.5884081938555824,0.39425207267242884,0.2728616276322379,0.2964778175720316,0.5284461230063812,0.2086606705140641,0.24857175323263936,0.2892383450059547,0.21469723283704606,0.4227136072147459,0.5020523934340209,0.22892276513869883"
6,"0.33731663335496803,0.4011568146220067,0.3796596399165022,0.20011921083124187,0.34741652442958054,0.35535805493356665,0.2743706115224801,0.25868120182483745,0.48996400299592485,0.460996380160156,0.37461865689983675,0.2739445915714849,0.2552757795248408,0.1436674260006957,0.25363563817151025,0.21417080792951007,0.2846472054026279,0.4130300919925269,0.11488830780777692,0.5588395912137295,0.36954602143875315,0.18186216916936368,0.05368822608666845,0.3859156085106373,0.2258543009112296"
7,"0.6995206379693399,0.4586884355652194,0.2974465354315321,0.39856182775178345,0.39795884434466094,0.39980724513964117,0.159312701347398,0.17691497003157078,0.4341778558643401,0.24445975930733396,0.17427924044487525,0.22385260485018202,0.4203449505801632,0.28244150239490945,0.1813309941434874,0.5569172020633708,0.3752759019435832,0.354041989703095,0.5356425340916202,0.45285992149025495,0.42044148830104694,0.711003832666883,0.5848606325028877,0.43040312180343365,0.5439911688550537"
8,"0.26238176596180146,0.4375970896891372,0.5305915488701276,0.3063945476468333,0.3457102689226895,0.217491355034056,0.5433374385600545,0.42334624523382774,0.4383894772590358,0.6444935814725999,0.4098341706472682,0.4328421092068281,0.38167798688024956,0.5651298787593747,0.6447483408173592,0.5372536292860178,0.4195422149025277,0.22229417865247966,0.24870669754437177,0.20438527771231957,0.678065213234057,0.5485571722435634,0.616986852612173,0.15635651585173702,0.2930369384503723"
9,"0.3426247700250283,0.20500103693539934,0.35834926720292526,0.3670707677706254,0.4292120301399753,0.45343753533495307,0.5501317307679214,0.6902662857408051,0.4075510732804999,0.3674634489442844,0.18941587203408525,0.2869154505769847,0.5405811861517873,0.294657992868781,0.2850509262819468,0.24526131092836853,0.4403446790894748,0.6456379331567644,0.6343797972614535,0.7290243162063899,0.18032625151823503,0.28217499185676365,0.3945912756989276,0.39485809520259796,0.11911542494410363"
