,words
0,"-1.8944066762924194,0.5581380724906921,1.879670262336731,0.013994589447975159,0.6559217572212219,0.18687234818935394,-0.8952537775039673,0.05069305747747421,-1.0336971282958984,0.4780675768852234"
1,"-2.1418159008026123,0.39630189538002014,-0.14763930439949036,-0.6896368861198425,0.7195793986320496,1.241805076599121,0.32795244455337524,0.4851539134979248,-1.1768074035644531,0.9851066470146179"
2,"-0.4245048761367798,0.2904326915740967,0.6200642585754395,-0.7747249007225037,0.5867556929588318,1.5843594074249268,-1.4479150772094727,1.2164275646209717,-1.5173015594482422,-0.13359345495700836"
3,"-0.7960740327835083,1.0453038215637207,-0.6509901285171509,-1.3073214292526245,0.4228919744491577,0.6365204453468323,-1.7500157356262207,1.342488169670105,0.27075591683387756,0.7864409685134888"
4,"-1.2404881715774536,0.39684033393859863,0.9891315698623657,-0.720085084438324,0.6645605564117432,-0.30196839570999146,-1.641045093536377,1.6542333364486694,0.7415225505828857,-0.5427015423774719"
5,"-0.8272761106491089,1.3845491409301758,0.3134459853172302,-0.2988170385360718,1.5041348934173584,0.2970658540725708,-1.6858940124511719,-0.7387098073959351,-0.8318910002708435,0.8833924531936646"
6,"-0.839225172996521,1.9998359680175781,-0.19414180517196655,-0.6534612774848938,-1.2576392889022827,-0.6891307830810547,1.2736361026763916,0.7725511193275452,-0.6914766430854797,0.27905160188674927"
7,"0.3672180771827698,0.26920396089553833,0.08171883970499039,-1.0651458501815796,0.8744089603424072,-0.06817221641540527,-2.081540107727051,0.9632815718650818,-0.7669022679328918,1.4259291887283325"
8,"0.21921345591545105,2.383467674255371,0.23635853826999664,-0.11257658898830414,-0.8378065824508667,0.92497318983078,-1.3135473728179932,-0.6865940690040588,-0.16464661061763763,-0.6488418579101562"
9,"-0.5208309292793274,2.381450653076172,-0.17675399780273438,-0.782145082950592,0.3998939096927643,0.4901917278766632,-1.316940426826477,0.2571803629398346,-1.0536779165267944,0.32163169980049133"
10,"-1.6751734018325806,0.33811524510383606,0.4878121018409729,-0.06526137888431549,0.9291638731956482,-0.27791085839271545,-1.623669981956482,1.6626017093658447,0.5973843932151794,-0.37306180596351624"
11,"0.5452268123626709,1.2739379405975342,-0.864357590675354,-0.5768634676933289,1.0470130443572998,-1.875157117843628,-1.0319907665252686,0.5481027960777283,-0.07412561029195786,1.0082147121429443"
12,"-1.97353994846344,-0.10528813302516937,0.9986292719841003,-0.8089923858642578,0.9633340239524841,1.343510627746582,-0.5862414836883545,0.6039106249809265,-0.8907463550567627,0.45542392134666443"
13,"-0.8692753314971924,1.2781875133514404,-0.4013231694698334,-0.6502227187156677,1.6715940237045288,0.020055338740348816,-1.886514663696289,-0.1587451547384262,0.7734911441802979,0.22275280952453613"
14,"-0.486439049243927,0.7951217293739319,1.717047929763794,-0.5367425084114075,0.81296306848526,0.5962648987770081,-0.9179146885871887,-1.8690961599349976,0.4621089696884155,-0.5733137726783752"
15,"-1.1058558225631714,1.6558765172958374,0.7813602685928345,-1.5181846618652344,1.0603358745574951,-0.11457689106464386,-1.1006534099578857,0.3705275058746338,-0.5770370364189148,0.5482079386711121"
16,"-0.54792320728302,0.8652627468109131,0.7535952925682068,-0.9298432469367981,1.5111051797866821,-0.5654457807540894,-1.639054536819458,-0.5687459111213684,-0.23853564262390137,1.359585165977478"
17,"-0.28031402826309204,0.5105858445167542,0.7336918711662292,-0.413840115070343,1.551019549369812,1.0119829177856445,-2.027484893798828,-0.12268702685832977,0.20114386081695557,-1.1640979051589966"
18,"-1.595398187637329,1.5139333009719849,0.2156171202659607,-0.8076897859573364,1.6163341999053955,0.25377726554870605,-1.2867265939712524,0.15993347764015198,-0.2620314657688141,0.1922508329153061"
19,"-1.5474964380264282,1.5952709913253784,-1.1023194789886475,-0.3912983536720276,1.467637538909912,0.20837879180908203,-1.022093653678894,0.3111867606639862,-0.10432972759008408,0.5850638151168823"
20,"-1.4027283191680908,1.078836441040039,-0.25452345609664917,-1.6122907400131226,1.5330978631973267,0.9207969307899475,-0.8753317594528198,0.31975170969963074,0.3637683689594269,-0.0713772252202034"
21,"-1.9005366563796997,0.5341269969940186,0.8737627863883972,-0.5226732492446899,1.3710392713546753,0.571224570274353,-1.5690574645996094,0.5453085899353027,-0.17060352861881256,0.2674085199832916"
22,"-0.3298935294151306,1.7802410125732422,0.252154678106308,-1.1037181615829468,1.2832221984863281,-0.298012912273407,-1.6537116765975952,-0.6828056573867798,0.04427032172679901,0.7082536220550537"
23,"-0.36649465560913086,0.5534684062004089,0.35131680965423584,-0.4721423387527466,1.951515793800354,-0.09528186172246933,-2.2295539379119873,0.11400878429412842,-0.3466484248638153,0.539811372756958"
24,"-1.2096328735351562,1.5721980333328247,-0.22522972524166107,-0.9236001968383789,1.8080769777297974,-0.2976936101913452,-1.2564526796340942,-0.08654402196407318,0.19602996110916138,0.4228481352329254"
25,"-1.9578092098236084,0.5071610808372498,0.5138012766838074,-1.8732069730758667,1.09575355052948,0.008357018232345581,0.18263281881809235,0.2277868390083313,0.571473240852356,0.7240502238273621"
26,"-0.9957075119018555,0.8031011819839478,-0.2732315957546234,-0.8964433670043945,2.3838818073272705,0.04927336052060127,-0.8552708625793457,0.571704089641571,0.07093124091625214,-0.8582385778427124"
27,"-0.3451274037361145,1.3324854373931885,-0.5367462635040283,-0.8932657837867737,2.173288583755493,-0.135879784822464,-1.4226340055465698,-0.42538100481033325,-0.016096584498882294,0.2693564295768738"
28,"-0.5894182324409485,0.9642589092254639,0.2540600895881653,-1.215633749961853,1.5760581493377686,0.4274948239326477,-0.8689998388290405,-0.2565908432006836,-1.4965972900390625,1.2053678035736084"
29,"-2.280025005340576,0.962762176990509,0.21875277161598206,-0.467011958360672,1.7660303115844727,-0.1701938509941101,-0.1741119623184204,0.22590681910514832,0.3925400674343109,-0.4746491611003876"
30,"-1.3098264932632446,1.5876507759094238,-0.3337036967277527,-0.9276163578033447,1.7873121500015259,-0.49211785197257996,-0.6149013042449951,0.05504117161035538,-0.5626610517501831,0.8108227252960205"
31,"-1.606956124305725,0.4533238708972931,-0.04936397075653076,-0.3737770915031433,1.8830205202102661,0.6705259084701538,-1.6032837629318237,-0.27935585379600525,0.541705310344696,0.3641611635684967"
32,"-2.209003448486328,0.8759959936141968,1.2952115535736084,-0.01932157576084137,0.7518954277038574,0.9057132601737976,-1.0103126764297485,-0.1779639571905136,-0.48170244693756104,0.06948792934417725"
33,"-0.901306688785553,0.8327102661132812,0.5904519557952881,-0.9311685562133789,1.5257995128631592,0.07197581231594086,-1.635720133781433,0.5535128712654114,-1.042477011680603,0.9362217783927917"
34,"-1.06150484085083,0.4329841434955597,-0.08699527382850647,-0.9960670471191406,2.0099847316741943,0.2813405692577362,-1.4959115982055664,0.13316404819488525,-0.3172736167907715,1.100279450416565"
35,"-1.13885498046875,1.4516867399215698,0.5947501063346863,-1.1698788404464722,0.24552634358406067,0.011776305735111237,-1.6439565420150757,-0.22557015717029572,0.5484070777893066,1.3261139392852783"
36,"0.09042411297559738,1.184608817100525,0.5479827523231506,-1.6378263235092163,1.2443264722824097,-0.3860280513763428,-1.877434492111206,0.2235461175441742,0.0338505357503891,0.576550304889679"
37,"-0.7492515444755554,0.7575704455375671,-0.6027133464813232,-0.6071077585220337,2.4528563022613525,-0.46980929374694824,-1.218839406967163,0.16704370081424713,-0.28056442737579346,0.5508153438568115"
38,"-1.4693541526794434,1.4530308246612549,0.20447640120983124,-0.10183902084827423,0.9945666790008545,0.17085283994674683,-2.057307720184326,0.19765040278434753,-0.014436006546020508,0.622359573841095"
39,"-0.7332361340522766,1.1882030963897705,0.10457517206668854,-0.4306090772151947,1.2845754623413086,-0.5353102087974548,-2.2810616493225098,0.3995128273963928,0.34163206815719604,0.661718487739563"
40,"-0.9582675695419312,1.5523364543914795,0.0937153622508049,-0.9648393392562866,1.5832281112670898,-0.7851393222808838,-1.1592451333999634,0.48436132073402405,-0.6368218660354614,0.7906715869903564"
