,item_embed
0,"0.0051839566,0.08511915,-0.002065519,0.12500478,-0.10575295,-0.12804046,-0.11924975,0.07685933,0.0026461417,0.034215357,-0.11716639,0.023037983,-0.036584485,0.12365262,0.21357162,0.08253499,0.09518422,-0.08542736,-0.016517658,-0.08590426,0.0095217675,-0.06913834,0.087920785,0.2312613,0.0045177755,-0.03639229,-0.080039054,-0.052438144,0.038173053,0.06625219"
1,"-0.27875555,0.24581912,0.10189451,0.25620425,-0.25900447,-0.14291246,0.037808295,-0.078673325,-0.21388812,-0.11691494,-0.12205932,0.13456434,0.040569592,-0.12100413,0.3194906,-0.024443932,-0.10922508,0.0029596393,-0.019567547,-0.014551308,-0.070243545,0.116327286,0.18520872,0.15865855,-0.008714975,-0.15552634,-0.06884047,-0.11551748,-0.37810847,-0.09413477"
2,"-5.335931e-12,8.605978e-10,2.169776e-10,2.4919034e-10,-1.6657258e-10,-3.0840064e-10,-2.4362629e-10,2.4509733e-10,7.483091e-11,-3.4517667e-10,-8.752358e-10,7.591941e-11,-7.494555e-10,4.3599255e-10,4.3504222e-10,4.2466317e-10,1.5530549e-09,-4.018258e-09,2.0822527e-10,-5.5732496e-10,4.7852655e-10,-1.3797661e-09,1.3084307e-09,8.6913005e-10,1.3980539e-10,-7.796699e-10,1.3636187e-10,-3.8680556e-10,-4.3426956e-10,-4.3734558e-10"
3,"-0.24750964,0.1484864,0.22538646,0.1614033,-0.15039441,-0.186362,0.0599451,0.03706323,-0.2805094,0.008656832,-0.10144793,0.2688649,0.14483611,-0.099653855,0.36631143,0.09151434,0.16371346,-0.10821569,-0.23956442,-0.06466984,-0.07288144,0.05558182,0.16463555,0.086266495,0.14293587,-0.013559811,0.034935724,-0.17458503,-0.29521644,-0.10120488"
4,"-0.1878349,-0.3491317,0.6495347,0.46068573,0.14775836,-0.60149086,0.54791725,-0.7896327,0.06440276,0.6962291,-0.57533604,0.35940343,-0.4793624,0.58959144,-0.30323958,-0.13381644,-0.30866498,0.2977025,0.73130774,0.53710586,0.03361998,-0.4169981,0.23704495,-0.6326071,0.3198908,0.5426576,-0.7936943,-0.4430617,0.16232361,0.30555642"
5,"0.29086047,0.52140385,0.47784165,0.37252408,0.117369846,-0.15228236,-0.19049111,-0.16545059,0.7064603,-0.41164148,0.001211121,0.10800118,-0.114134274,0.32746914,0.22457829,0.08783292,0.0001355313,0.13658139,-0.36605078,0.2580296,-0.47313562,0.0722315,-0.39555043,0.23615491,-0.23567092,-0.26525512,0.30743545,-0.52936465,0.1506745,0.18666969"
6,"-0.22887735,-0.9348384,0.18874234,0.41611028,-0.080177054,-0.26818037,0.789488,-0.440429,-0.3108208,-0.43277243,0.04273803,-0.16078824,0.6780556,0.20088473,0.18012635,0.6658673,0.64468145,0.61191875,0.019668115,-0.054813053,0.11123979,-0.24650207,0.7213558,-0.33560959,-0.7071117,-0.4162892,0.51495975,0.3533699,-0.10865143,0.49409726"
7,"-0.6022929,0.27388704,0.49038276,0.27010718,-0.15861711,-0.31457305,-0.014973558,-0.13099901,-0.5622753,0.18719435,-0.18165866,0.44320562,0.46896017,-0.40398255,0.5820142,0.1449735,0.068422236,-0.32304865,-0.46548405,0.04167504,-0.21967097,0.063655496,0.48791525,0.24910954,0.18005423,-0.29306388,0.15683503,-0.43536696,-0.48374292,-0.24095285"
8,"-0.23661736,0.14103052,0.2143168,0.15557939,-0.1381323,-0.17713965,0.058519326,0.035252452,-0.26894796,0.007942137,-0.096539766,0.2562912,0.13817807,-0.0959545,0.34883967,0.08719288,0.15787359,-0.10679127,-0.2290741,-0.066776186,-0.068761736,0.052842516,0.15710035,0.08106941,0.13618259,-0.0119386725,0.03329794,-0.16495958,-0.28198865,-0.096900456"
9,"0.59231466,0.5311254,-0.035621908,0.20813723,-0.28327897,0.12090338,0.3646708,-0.75208193,0.1931305,0.17585513,0.6369431,-0.33721003,0.42486137,0.10688726,-0.48687953,-0.48953637,0.40574226,0.16712627,-0.6198679,-0.72673744,-0.5389297,-0.62555385,0.28702536,0.119642876,-0.59520483,-0.16594388,-0.6481957,0.4246623,0.07484538,-0.10711724"
