,words
0,"800,4087,1129,72,3488,0,3151,2937,2399,900,850,522,1490,0,904,1585,171,5,0,0,2844,4205,540,522,1585,1272,3052,3024,511,4218,686,3508,2900,3228,1431,625,884,474,2194,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,"1787,3024,3962,2399,740,1757,1616,1066,3508,2672,607,3962,1930,3508,4517,1272,1186,612,2211,3245,1787,3024,3962,2399,740,1757,1616,1066,3508,2672,607,3962,1930,3508,4517,1272,1186,612,2211,3245,1787,3024,3962,2399,740,1757,1616,1066,3508,2672,607,3962,1930,3508,4517,1272,1186,612,2211,3245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,"4392,4229,1091,4117,1585,1544,1462,3508,3087,4341,3831,3721,2978,1460,1579,3988,3508,884,316,3024,4392,4229,1091,4117,1585,1544,1462,3508,3087,4341,3831,3721,2978,1460,1579,3988,3508,884,316,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,"4250,522,1820,2844,3131,3644,171,1013,184,3240,3508,3721,3962,1786,4164,2085,1360,3508,4010,1579,4250,522,1820,2844,3131,3644,171,1013,184,3240,3508,3721,3962,1786,4164,2085,1360,3508,4010,1579,4250,522,1820,2844,3131,3644,171,1013,184,3240,3508,3721,3962,1786,4164,2085,1360,3508,4010,1579,4250,522,1820,2844,3131,3644,171,1013,184,3240,3508,3721,3962,1786,4164,2085,1360,3508,4010,1579,4250,522,1820,2844,3131,3644,171,1013,184,3240,3508,3721,3962,1786,4164,2085,1360,3508,4010,1579"
4,"607,3962,896,767,2524,3844,3382,532,404,2621,3508,3326,667,392,2590,46,3024,3962,4441,72,607,3962,896,767,2524,3844,3382,532,404,2621,3508,3326,667,392,2590,46,3024,3962,4441,72,607,3962,896,767,2524,3844,3382,532,404,2621,3508,3326,667,392,2590,46,3024,3962,4441,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,"2523,4229,78,2194,540,1202,3969,2211,1241,1778,761,3779,3350,4229,1129,322,2691,3719,2169,1685,2523,4229,78,2194,540,1202,3969,2211,1241,1778,761,3779,3350,4229,1129,322,2691,3719,2169,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,"2312,79,4087,3836,3090,2973,2211,1118,3508,1970,3706,2314,0,0,0,0,0,0,0,0,2312,79,4087,3836,3090,2973,2211,1118,3508,1970,3706,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,"2453,4229,540,522,611,2194,1547,72,3340,3508,262,4229,522,3508,1272,4046,2298,2691,791,1786,4271,3340,262,4229,522,3508,2399,1385,3508,2900,4229,2399,2603,904,1786,1432,3022,1046,1847,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,"2675,1671,1544,3350,72,3488,800,2298,3508,1822,4188,3508,2999,0,0,0,0,0,0,0,104,2334,540,522,1854,686,4229,2399,3394,66,3595,3385,3508,1891,0,0,0,0,0,0,2675,1671,1544,540,522,3598,0,613,719,2399,2855,3508,4180,3702,4082,1855,2970,2194,1028,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"1207,262,3962,2616,3508,919,2103,1272,1616,3836,612,3721,3962,1129,540,887,1540,3271,1616,4371,1207,262,3962,2616,3508,919,2103,1272,1616,3836,612,3721,3962,1129,540,887,1540,3271,1616,4371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,"3839,3228,1431,2556,262,3962,540,2399,379,3024,532,4223,0,0,0,0,0,0,0,0,3839,3228,1431,2556,262,3962,540,2399,379,3024,532,4223,0,0,0,0,0,0,0,0,3839,3228,1431,2556,262,3962,540,2399,379,3024,532,4223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
11,"706,262,3962,4229,540,1385,3508,2980,3024,2194,2890,532,1585,3772,1091,1181,532,3722,280,3508,534,3385,3433,195,511,540,522,3531,2211,4030,1544,896,4256,2617,1687,3738,2194,540,900,4223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
