,words
0,"2098,2183,548,697,676,2575,539,351,1604,592,1154,1798,1390,1135,2784,173,0,1368,2325,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,"2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524,1622,1640,2332,973,407,1016,0,2493,2244,2602,1192,849,1596,352,1819,2373,1037,39,678,2053,2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524,2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524,2768,2898,2627,973,180,2352,2678,2349,145,2607,336,2352,1271,849,1297,320,2575,490,2045,524"
2,"885,542,512,1624,849,1254,1135,2627,973,407,1407,39,1613,420,2768,456,521,837,1573,849,885,542,512,1624,849,1254,1135,2627,973,407,1407,39,1613,420,2768,456,521,837,1573,849,1127,2898,2627,973,95,418,1407,726,1155,849,943,459,973,1421,1932,2053,866,2768,237,490,418,849,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,1397,2627,548,694,2039,2575,361,2050,37,39,844,709,2055,1676,872,310,137,478,726"
3,"483,2053,512,1624,849,98,1135,2627,973,407,2898,39,1613,1983,1794,548,1209,2627,880,548,1127,2112,2627,2602,1785,279,849,1945,2575,539,1478,2050,973,2095,374,849,1135,2627,973,2875,690,270,2918,849,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,490,2007,1076,2039,587,2332,1573,849,158,849,1135,490,1466,364,1192,364,548,1468,1577,197,490,2007,1076,2039,587,2332,1573,849,158,849,1135,490,1466,364,1192,364,548,1468,1577"
4,"2007,1315,726,1371,2221,837,759,1117,1604,1753,1592,849,361,2050,2874,881,2249,973,2333,0,2007,1315,726,1371,2221,837,759,1117,1604,1753,1592,849,361,2050,2874,881,2249,973,2333,0,1676,2637,2607,1470,102,2196,770,1820,2297,849,1303,562,2349,548,917,961,2297,849,2118,2020,569,1048,361,2874,548,70,1917,384,2768,1784,726,1909,2007,936,539,1602,2349,973,851,963,2575,539,1478,2332,548,477,2438,374,2053,548,31,981,1397,490,2007,445,2039,587,2874,770"
5,"713,2898,726,270,1397,2627,548,1076,2039,2575,435,2185,849,2575,2164,1397,66,2575,2424,681,713,2898,726,270,1397,2627,548,1076,2039,2575,435,2185,849,2575,2164,1397,66,2575,2424,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,"713,2898,726,2478,433,2039,2575,33,849,588,138,973,121,2768,2297,2627,973,2444,2297,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,"495,849,2305,2898,2627,1187,1013,197,2627,548,1076,2039,2412,1478,416,1773,1493,1700,726,193,1058,2627,973,1725,1105,2332,407,2181,849,973,2835,1016,0,0,0,0,0,0,0,0,495,849,2305,2898,2627,1187,1013,197,2627,548,1076,2039,2412,1478,416,1773,1493,1700,726,193,2768,676,2244,598,364,1922,0,1058,490,1688,67,418,849,411,2162,0,1058,2100,2306,548,1058,2627,973,1725,1105,2332,407,2181,849,973,2835,1016,0,0,0,0,0,0,0,0"
8,"713,680,407,359,407,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,680,407,359,407,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,680,407,359,407,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"197,2627,973,2602,1600,2444,2297,2053,973,407,1472,0,0,0,0,0,0,0,0,0,197,2627,973,2602,1600,2444,2297,2053,973,407,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,"407,1105,407,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,973,1560,29,2890,2163,1319,1306,0,2575,124,524,37,814,0,0,0,0,0,0,2485,973,1560,29,2890,2163,1319,1306,0,2575,124,524,37,814,0,0,0,0,0,0,713,1016,2850,726,740,2349,407,2812,2053,2797,1456,2768,2463,490,418,849,1731,2793,378,1920,2575,1485,548,2463,2545,374,39,2007,1877,849,1490,2196,1135,2163,1577,2768,2414,2332,548,465"
11,"2628,490,215,2591,2602,442,726,2007,2376,849,463,2928,719,402,1077,509,1640,490,1121,2602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,"713,320,2390,1016,1664,361,1263,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,"713,726,895,1905,2575,1975,361,2053,1117,71,2575,2862,2712,1211,0,0,0,0,0,0,713,726,895,1905,2575,1975,361,2053,1117,71,2575,2862,2712,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,"2476,548,697,2898,2053,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2476,548,697,2898,2053,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,"2470,1097,39,2257,238,1056,143,726,2794,324,849,2474,1262,0,713,1352,2332,2257,849,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,"2485,973,1753,2874,548,499,0,0,169,2007,1301,768,1446,2209,0,713,2924,713,2898,726,2575,1605,973,407,700,2293,2080,849,1945,920,681,587,2874,548,2680,0,0,0,0,0,713,2898,1986,1472,162,2474,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,800,193,490,2003,2768,2297,849,1451,2244,2602,281,1058,490,2602,2217,849,548,237,490,102,2196,587,2332,2902,849,2708,2053,866,0,2917,1056,407,465,849,501,2347,2627,2003,0"
17,"690,2729,0,2273,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,2729,0,2273,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,2729,0,2273,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575,539,1478,2874,1483,2463,2905,374,2662,1058,2627,2893,67,1659,95,849,2010,0,940,2627,713,2918,39,548,439,1906,2838,1706,2231,1817,2588,0,0,0,0,0,0,0,0,0"
18,"1293,2349,2007,1985,769,726,2837,197,2627,2007,1891,1301,768,1446,157,849,2575,2149,1795,0,1293,2349,2007,1985,769,726,2837,197,2627,2007,1891,1301,768,1446,157,849,2575,2149,1795,0,1293,2349,2007,1985,769,726,2837,197,2627,2007,1891,1301,768,1446,157,849,2575,2149,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
19,"2795,515,2627,1991,1058,2627,973,407,2678,2349,2817,558,849,1524,838,425,2316,1058,2627,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
20,"2842,221,2898,2627,2078,1058,2325,193,137,478,1853,973,1832,1386,1928,973,1725,849,1882,2738,2617,2637,563,240,2053,973,230,1868,2842,221,2583,2053,1235,2426,2863,2474,894,509,2423,2463,2617,2637,563,240,2053,973,230,1868,2842,221,2583,2053,1235,2426,2863,2474,894,509,2423,2463,2442,651,2627,2007,2334,768,1446,952,0,738,112,2844,361,490,364,2835,364,2007,2859,731,2768,106,2627,2003,738,1435,171,2349,866,0,0,0,0,0,0,0,0,0,0,0"
21,"2305,2898,2627,2703,1013,661,336,1948,2309,2134,963,2332,193,137,1281,1915,1184,1025,1596,352,2305,2898,2627,2703,1013,661,336,1948,2309,2134,963,2332,193,137,1281,1915,1184,1025,1596,352,2357,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452,973,407,361,2874,397,849,2388,2745,0,0,0,0,0,0,0,0,0,0,0,2452,973,407,361,2874,397,849,2388,2745,0,0,0,0,0,0,0,0,0,0,0"
22,"2456,2463,1943,1646,2248,459,973,1421,6,2575,352,973,1192,2087,823,849,548,341,2348,2244,2456,2463,1943,1646,2248,459,973,1421,6,2575,352,973,1192,2087,823,849,548,341,2348,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
23,"2768,1198,2627,973,492,2898,2053,973,407,336,2332,740,2349,2812,849,2690,1175,1803,1477,267,141,2463,2627,1524,849,548,2297,2627,1731,0,2768,2918,2627,2602,1162,726,1690,849,429,0,197,2627,973,2375,2177,2272,726,548,579,2575,2164,548,1469,219,244,520,2627,1998,1310,726,197,2627,973,2375,2177,2272,726,548,579,2575,2164,548,1469,219,244,520,2627,1998,1310,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24,"197,490,2007,445,1656,361,849,1135,490,2637,2607,240,726,812,548,881,2202,2347,490,2703,2532,849,2706,1056,548,2264,320,1608,548,1801,2053,475,2450,2007,2438,1203,726,2830,1267,726,197,490,2007,445,1656,361,849,1135,490,2637,2607,240,726,812,548,881,2202,2347,490,2703,197,490,2007,445,2039,2337,1656,849,1397,240,183,1819,1893,726,118,1135,889,2532,849,2706,197,490,2007,445,2039,2337,1656,849,1397,240,183,1819,1893,726,118,1135,889,2532,849,2706"
25,"738,361,2053,2199,490,2003,0,949,2898,490,2127,67,1162,849,481,2017,878,726,867,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
26,"235,849,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
27,"1157,2898,726,2478,2192,1472,1326,490,2345,726,1466,779,1819,2053,849,2798,1819,726,2007,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
28,"211,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,490,2007,1076,2039,587,2332,290,849,800,1135,490,973,407,1499,920,1476,0,0,0"
29,"975,2898,2627,2675,418,849,1025,2627,2637,835,2738,2768,2918,2627,1197,973,407,2688,1007,39,102,539,1478,2332,55,2438,374,849,1025,2627,973,1725,2738,0,102,539,1661,1700,1298,849,975,2898,2627,2675,418,849,1025,2627,2637,835,2738,2768,2918,2627,1197,973,407,2688,1007,39,102,539,1478,2332,55,2438,374,849,1025,2627,973,1725,2738,0,102,539,1661,1700,1298,849,102,539,1478,2332,55,2438,374,849,1025,2627,973,1725,2738,0,102,539,1661,1700,1298,849"
30,"38,490,973,1725,218,849,2575,2196,2097,157,2594,1526,1171,849,2097,135,404,490,2602,1816,38,490,973,1725,218,849,2575,2196,2097,157,2594,1526,1171,849,2097,135,404,490,2602,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
31,"2099,2709,849,407,2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,452,1579,582,2824,1446,548,1735,2661,728,1420,2693,1310,726,973,2303,1551,548,619,2627,2663,2627,973,751,1423,2883,726,395,2376,981,742,2075,1212,2492,1858,1164,742,2296,71,1011,2663,183,548,2105,2602,1861,2768,2898,2627,279,849,2602,1945,2575,2085,681,587,416,0,0,2663,2627,973,751,1423,2883,726,395,2376,981,742,2075,1212,2492,1858,1164,742,2296,71,1011"
32,"738,1076,2039,2874,1397,1524,384,1402,849,2025,1692,1056,2709,849,184,2227,490,1258,2575,2408,1572,2837,1608,1288,726,403,2306,815,2349,973,751,240,2244,1726,0,0,0,0,0,0,1402,2627,973,2602,976,2738,0,2018,973,2844,2022,1413,1475,1415,1819,837,1568,849,2807,726,1402,2627,973,2602,976,2738,0,2018,973,2844,2022,1413,1475,1415,1819,837,1568,849,2807,726,738,1076,2039,2874,1397,1524,384,1402,849,2025,1692,1056,2709,849,184,2227,490,1258,2575,2408"
33,"2152,2874,234,2898,2627,233,587,2874,395,1359,1301,768,1446,157,2672,1353,1135,966,2580,1082,2152,2874,234,2898,2627,233,587,2874,395,1359,1301,768,1446,157,2672,1353,1135,966,2580,1082,2768,2918,490,2925,726,2614,726,2306,706,2349,2199,2506,49,2798,548,2594,2604,726,548,369,1342,2627,973,1725,2540,0,1671,490,1264,1816,2332,1463,849,2759,698,0,2768,1946,2627,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
34,"1202,490,2003,2432,2347,2627,279,849,2191,2332,973,1405,2349,2801,849,831,1277,2320,2627,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
35,"2385,2627,973,1524,218,849,2097,418,1301,849,1832,2130,539,2100,1191,1593,361,2376,1466,1396,2385,2627,973,1524,218,849,2097,418,1301,849,1832,2130,539,2100,1191,1593,361,2376,1466,1396,2385,2627,973,1524,218,849,2097,418,1301,849,1832,2130,539,2100,1191,1593,361,2376,1466,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
36,"2357,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
37,"2920,1975,278,973,751,361,2874,2887,0,0,169,1600,726,1937,726,973,832,1301,1152,1466,1135,490,185,973,2243,1670,2575,956,539,1324,726,743,2663,981,2007,2511,669,548,2347,2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
38,"599,407,726,2794,1167,1117,1073,726,1315,301,0,0,0,0,0,0,0,0,0,0,599,407,726,2794,1167,1117,1073,726,1315,301,0,0,0,0,0,0,0,0,0,0,2575,188,587,2874,548,723,1618,2163,1282,282,1819,1891,856,2575,2794,587,2050,364,1068,620,2575,188,587,2874,548,723,1618,2163,1282,282,1819,1891,856,2575,2794,587,2050,364,1068,620,2575,188,587,2874,548,723,1618,2163,1282,282,1819,1891,856,2575,2794,587,2050,364,1068,620"
39,"690,2898,726,2837,862,2627,858,849,85,2602,1816,1996,2285,2768,2898,2325,973,407,795,2349,690,2898,726,2837,862,2627,858,849,85,2602,1816,1996,2285,2768,2898,2325,973,407,795,2349,690,2898,726,2837,862,2627,858,849,85,2602,1816,1996,2285,2768,2898,2325,973,407,795,2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
40,"2575,490,183,726,2717,2874,1301,849,548,676,2244,2780,1058,490,2690,726,756,726,1446,548,102,1605,973,407,1499,2768,2347,849,2297,2244,402,279,849,2663,490,2711,726,2021,1191,1392,2663,490,973,1725,849,299,2425,2768,2722,1301,490,2557,849,2046,849,163,2704,404,1730,2634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
41,"874,843,726,2474,973,863,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,874,843,726,2474,973,863,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,874,843,726,2474,973,863,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
42,"572,726,576,331,0,2820,2627,973,1018,1034,2349,548,1393,2332,548,804,1032,2821,2677,0,1445,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
