,words
0,"-0.955467939376831,0.06842285394668579,-1.4934836626052856,1.361724615097046,0.3404480218887329,-0.9196165800094604,-0.07930251955986023,-0.28789326548576355,-0.02136126160621643,1.986530065536499"
1,"0.24533845484256744,0.1909366250038147,-1.6983704566955566,0.4713984429836273,-0.007856234908103943,-1.1923201084136963,-0.05779391527175903,-0.9417144656181335,1.412980079650879,1.5774016380310059"
2,"-1.4186956882476807,-0.1292160600423813,-0.4221276640892029,1.012320637702942,1.5958267450332642,-1.5105139017105103,0.4476809501647949,-0.052896663546562195,-0.6617275476455688,1.1393489837646484"
3,"-1.312368631362915,0.8504392504692078,-0.45513635873794556,0.6075904965400696,0.2722732126712799,-1.507429599761963,-0.15090125799179077,-0.9472104907035828,1.6526985168457031,0.9900453686714172"
4,"-0.5971850156784058,-0.8152068853378296,-1.4681094884872437,1.0142134428024292,1.3755682706832886,-0.8394708633422852,-0.929283618927002,0.35736405849456787,1.3969080448150635,0.5052021741867065"
5,"-1.892944097518921,0.8858898282051086,-0.18601997196674347,-0.15460246801376343,0.36035874485969543,-1.3745231628417969,1.2895333766937256,0.26946091651916504,-0.46356910467147827,1.2664155960083008"
6,"-0.49541550874710083,1.0320408344268799,-0.6668678522109985,0.5923158526420593,-0.38115745782852173,-1.1763120889663696,-0.2886413335800171,-1.215524435043335,0.4556379020214081,2.1439242362976074"
7,"-0.12177225947380066,-1.1357868909835815,-1.006600260734558,1.8759040832519531,-0.3074418902397156,-1.4515506029129028,0.24736489355564117,0.05322173982858658,0.6133182644844055,1.2333428859710693"
8,"-1.4818308353424072,-0.24667949974536896,-0.8387345671653748,1.0539281368255615,-0.5053545236587524,0.2768607437610626,-0.9185039401054382,-0.37642550468444824,1.5376328229904175,1.4991075992584229"
9,"-0.18898409605026245,0.9679872989654541,-0.0748610645532608,-0.646103024482727,0.7445541024208069,-1.8453114032745361,-0.5174201130867004,-0.9181870818138123,1.720200538635254,0.758124828338623"
10,"-0.29689687490463257,0.5390913486480713,-1.020897626876831,0.3519773483276367,0.6972100734710693,-1.8089723587036133,-0.786730170249939,-0.45166805386543274,1.2933579683303833,1.4835281372070312"
11,"-0.055037617683410645,0.8067686557769775,-1.068803310394287,0.5449491143226624,0.27835631370544434,-1.8756217956542969,-0.722305417060852,-0.5369175672531128,1.1618645191192627,1.466747522354126"
12,"-0.724370539188385,-1.0632262229919434,-1.4378973245620728,-0.45279741287231445,0.5191832184791565,-0.4936392307281494,1.026155948638916,-0.32845553755760193,1.6038328409194946,1.351214051246643"
13,"-1.7552610635757446,0.22245198488235474,-0.17337167263031006,0.37117040157318115,0.5332066416740417,-1.172511339187622,-0.21278834342956543,-0.08117325603961945,0.034557588398456573,2.2337188720703125"
14,"-1.5260543823242188,-0.07731246948242188,-0.07280564308166504,0.13102780282497406,0.13954657316207886,-1.4995858669281006,-0.14300739765167236,-0.1895797848701477,1.4233895540237427,1.8143815994262695"
15,"-0.17893928289413452,1.0714491605758667,-1.2534527778625488,-0.20378360152244568,-0.4826994836330414,-0.6879594326019287,0.1108856052160263,-0.47248968482017517,-0.37746232748031616,2.474452257156372"
16,"0.13340386748313904,0.6293507814407349,-1.3660671710968018,-0.24524682760238647,0.16141654551029205,-1.6345891952514648,0.7125011682510376,-0.8288429975509644,0.5885285139083862,1.8495453596115112"
17,"-1.1074074506759644,0.47686776518821716,-1.1517094373703003,-0.02424588054418564,0.27378931641578674,-1.1205129623413086,0.0282040536403656,-0.39823248982429504,0.7503025531768799,2.272944927215576"
18,"-1.3035972118377686,0.8496846556663513,-0.963421642780304,-0.8257417678833008,0.09204910695552826,-1.0814566612243652,0.8257535099983215,-0.10762593150138855,0.5730410814285278,1.9413151741027832"
19,"-0.7980480194091797,-0.3303247094154358,-0.0156928151845932,0.3720508813858032,-0.12703488767147064,-2.15106201171875,-0.04212962090969086,0.28571563959121704,0.9287296533584595,1.877795696258545"
20,"-0.5943194627761841,0.14611342549324036,-1.2903306484222412,0.2362317442893982,0.3844829201698303,-2.0673484802246094,0.4893113970756531,0.8265500664710999,0.2970529794692993,1.572256326675415"
21,"0.31840211153030396,0.7247071266174316,-2.658336877822876,0.8791710138320923,0.49562302231788635,-0.4269065856933594,-0.20650741457939148,-0.400285542011261,0.42353111505508423,0.8506022691726685"
22,"-0.08931794762611389,0.26854223012924194,-2.4920904636383057,0.9406894445419312,-0.06456401944160461,-0.055626243352890015,0.47570282220840454,-0.8098679780960083,1.278556227684021,0.5479758977890015"
23,"0.6072993278503418,-0.11823678016662598,-0.9473201036453247,0.8481954336166382,0.0542149692773819,-1.9868911504745483,0.27556711435317993,-0.8208775520324707,0.2957381010055542,1.7923105955123901"
24,"-1.1494759321212769,0.1559903919696808,0.4838963747024536,0.4870479106903076,-0.14767733216285706,-2.074995279312134,-0.582068920135498,0.37219905853271484,0.8006447553634644,1.654438853263855"
25,"-0.3755245506763458,-0.8192683458328247,-1.5028088092803955,-0.06739276647567749,0.2236514389514923,-0.9536656141281128,0.812015175819397,-0.32369109988212585,0.9198659658432007,2.0868186950683594"
26,"-1.844214677810669,-0.15021395683288574,-0.5508173704147339,0.3746180236339569,-0.4797913134098053,-0.2721841037273407,-0.7288466691970825,0.6001404523849487,1.1504402160644531,1.9008697271347046"
27,"-0.9032047986984253,-0.5529518127441406,-0.18278193473815918,0.5140849351882935,-0.29765376448631287,-1.8928711414337158,0.6123698353767395,-0.14293041825294495,0.9412767887115479,1.9046623706817627"
28,"-2.258472204208374,-0.6247146129608154,0.05614577233791351,-0.18439678847789764,0.1848309189081192,0.240565225481987,1.2606498003005981,-0.44127464294433594,1.6027799844741821,0.16388648748397827"
29,"-1.4750792980194092,0.7273038029670715,-1.0193445682525635,1.464162826538086,0.25240206718444824,-1.2489579916000366,0.6046169996261597,-0.3215597867965698,-0.3586953282356262,1.375151515007019"
30,"-0.15326523780822754,0.7587940096855164,-1.3692634105682373,0.6526029109954834,-0.26236236095428467,-0.7950765490531921,-0.8083345293998718,-0.9388863444328308,0.9042336344718933,2.0115582942962646"
31,"0.8092374205589294,0.7723411321640015,-0.9571735858917236,0.7203404903411865,-0.8914054036140442,-0.9114295840263367,-0.266821026802063,-0.861811637878418,-0.5511487126350403,2.1378707885742188"
32,"-1.4661476612091064,0.06481865048408508,-0.6276289820671082,1.0507252216339111,0.21548044681549072,-1.350557804107666,-0.4526147246360779,-0.19380593299865723,0.9176463484764099,1.8420841693878174"
33,"-0.434342622756958,-0.04276210069656372,-1.7146937847137451,0.6626838445663452,-0.06701816618442535,0.6468555927276611,-0.47279518842697144,-1.3627771139144897,1.548638939857483,1.2362109422683716"
34,"-0.28541362285614014,0.7818526029586792,-0.6069732904434204,0.8418102860450745,-0.5914190411567688,-1.4801337718963623,1.1089239120483398,-0.32739055156707764,-1.169173002243042,1.7279164791107178"
35,"0.040160149335861206,-0.003356426954269409,-1.0230178833007812,0.6928318738937378,0.691537618637085,-1.9432482719421387,-0.8955702185630798,-0.16264861822128296,1.3109452724456787,1.2923667430877686"
36,"-1.5617961883544922,-0.06854450702667236,-1.0168073177337646,-1.3736357688903809,1.143828272819519,-0.23179423809051514,1.084538459777832,0.6238409280776978,1.303177833557129,0.0971922054886818"
37,"-0.19457662105560303,-0.030716143548488617,-1.2268105745315552,-0.10024290531873703,0.06296522915363312,-1.8107326030731201,0.36858895421028137,-0.2231098711490631,1.6073986291885376,1.5472358465194702"
38,"0.09133675694465637,0.880610466003418,-1.2518627643585205,0.3303363621234894,-0.4950636327266693,-1.5238052606582642,-0.8768973350524902,-0.045581430196762085,1.3382277488708496,1.552699089050293"
